
"Tally by Opcode"

"","","","Opcode (Hex) >","0x00","0x01","0x05","0x06","0x08","0x0C","0x0E","0x35","0x51","0x52","0x53","0x54","0x55","0x56","0x57","0x58","0x59","0x5A","0x5B","0x5C","0x5D","0x5E","0x61","0x62","0x64","0x66","0x68","0x6B","0x6C","0x72","0x75","0x76","0x7A","0x7C","0x87","0x9C","0x9F","0xC0","0xC3","0xC4","0xC5","0x100","0x101","0x102","0x103","0x104","0x105"
"","","","Opcode >","PUSH0","PUSHBYTES1","5","6","8","12","14","53","PUSH1","PUSH2","PUSH3","PUSH4","PUSH5","PUSH6","PUSH7","PUSH8","PUSH9","PUSH10","PUSH11","PUSH12","PUSH13","PUSH14","NOP","JMP","JMPIFNOT","RET","SYSCALL","TOALTSTACK","FROMALTSTACK","XSWAP","DROP","DUP","ROLL","SWAP","EQUAL","NUMEQUAL","LT","ARRAYSIZE","PICKITEM","SETITEM","NEWARRAY","Runtime.Notify","Storage.GetContext","Storage.Get","Storage.Put","Runtime.CheckWitness","Storage.Delete"
"lab5_domain.cs","69","            return result;","78","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","6","0","6","0","0","0","0","12","12","0","0","12","6","0","0","0","0","0","6","6","0","0","0","0","0","0","0"
"lab5_domain.cs","70","        }","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","6","6","0","0","0","6","12","0","6","6","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0"
"lab5_domain.cs","121","        }","34","2","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","6","4","0","0","4","4","0","0","0","0","0","0","2","2","0","0","0","0","0","0"
"lab5_domain.cs","124","        {","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"lab5_domain.cs","125","            bool result = false;","16","2","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","127","            Runtime.Notify(''TransferDomain'', domain_name, to_address);","52","4","0","0","0","0","0","2","0","4","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","4","4","0","0","10","0","0","0","0","0","0","4","8","2","2","0","0","0","0","0"
"lab5_domain.cs","129","            StorageContext ctx = Storage.CurrentContext;","20","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","2","2","0","0","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"lab5_domain.cs","130","            byte[] owner = Storage.Get(ctx, domain_name);","42","2","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","6","6","0","0","6","2","2","0","0","0","0","4","2","0","0","0","2","0","0","0"
"lab5_domain.cs","131","            if (owner.Length == 0)","42","2","0","0","0","0","0","0","0","0","2","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","6","2","0","0","2","0","2","4","4","0","0","0","0","0","0","0"
"lab5_domain.cs","137","            {","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","138","                if (false) // !Runtime.CheckWitness(owner))","18","2","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","2","2","0","0","2","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"lab5_domain.cs","144","                {","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","145","                    if (to_address.Length != 34)","46","2","2","0","0","0","0","0","0","2","2","0","0","0","0","4","0","0","0","0","0","0","0","2","0","0","0","0","6","6","0","0","6","2","0","0","4","0","2","4","2","0","0","0","0","0","0","0"
"lab5_domain.cs","151","                    {","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","152","                        Storage.Put(ctx, domain_name, to_address);","42","2","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","2","6","6","2","0","6","0","0","0","0","0","0","6","0","0","0","0","0","2","0","0"
"lab5_domain.cs","153","                        result = true;","16","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","154","                    }","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"lab5_domain.cs","155","                }","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","156","            }","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lab5_domain.cs","158","            return result;","26","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","4","4","0","0","4","2","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"lab5_domain.cs","159","        }","58","4","0","0","0","0","0","0","0","0","4","0","0","0","0","4","2","0","0","0","0","0","0","2","6","0","0","0","10","8","0","2","6","4","0","0","0","0","0","2","0","4","0","0","0","0","0","0"
"lab5_domain.cs","162","        {","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0"
"lab5_domain.cs","163","            bool result = false;","32","4","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","4","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
